使用者對行動支付持續使用意圖,https://docs.google.com/forms/d/e/1FAIpQLSfKeNxWwzaEBEykLBivIBjkEZEbnJPaB65C-psY2CaVicrReA/viewform
網路購物與實體店面問卷,https://docs.google.com/forms/d/1xPSu0lT2Mr1XGSpVRlvk6DNQbeEySLOn3Kuxq0S-pv4/viewform?fbclid=IwAR3fUuFlZWmCWq1s7jVGLj6VSvSV3pp00_DtGRTc1_xXFFEW9xL7EqSKHQM&edit_requested=true#responses
環保杯使用習慣調查,https://docs.google.com/forms/d/e/1FAIpQLSdQICeYZ30apILh2VknzPqemIkzjb2kp_bv1LlVDUIRCMUUDg/viewform
探討親子互動關係家庭旅遊及解決方案,https://docs.google.com/forms/d/e/1FAIpQLSeOkfOimyjzjQ_wHUb6GDVxv9NlzhBZPKxRHlFeJBe1iIGGgQ/viewform?fbclid=IwAR2qvgvotRONvox_9MNls_H5Fy2n8Q8P33HnphUUzd2DsLp4A-BgZtMROok
網路購物與實體店面問卷,https://docs.google.com/forms/d/1xPSu0lT2Mr1XGSpVRlvk6DNQbeEySLOn3Kuxq0S-pv4/viewform?fbclid=IwAR0IJbjM7zMEOew98L-P2Ru9RNRr2zMA3d09sOEbjs9pI5iF2t8y2S5D0dg&edit_requested=true#responses
汽車消費愛好,https://docs.google.com/forms/d/e/1FAIpQLSf7mx78hpk8BfDi_nrBeZ9uwynDC1RdIUzcymIoNXeyEiEVsA/viewform
基本資料調查,https://docs.google.com/forms/d/e/1FAIpQLSfxZy5eNrgSJouLEti48QgpJnnh4eDs7m13H6gV1y_9g1fBEQ/viewform
飢餓行銷、品牌權益與購買意願關係之研究 - 以連鎖咖啡店為例,https://docs.google.com/forms/d/e/1FAIpQLScwnJzVG25ZkHd03NPGyHyqx_FBxyYXJLNR4KSti817lmvUQQ/viewform
捐血動機及傳播媒體相關性,https://docs.google.com/forms/d/e/1FAIpQLSfqSBIUbn-1OX3ErlNvyBkNnckj0nmo-waBPSoTcKJqBvMAoQ/viewform
台灣友善食品的消費者態度和購買意願：與食品有關的人格特質的調節作用,https://docs.google.com/forms/d/e/1FAIpQLSep4L-pfPppimxr2pS6QxSftitIa3FPCfKrXqKJyQ3ZDZmPtQ/viewform
大學標誌之影響,https://docs.google.com/forms/d/e/1FAIpQLSdNGm4RNHZFHe0yLnN0-wukYppU6cGNt0NReYKuIn1dGbPBOA/viewform
參與共享租衣使用意願之卷調查,https://docs.google.com/forms/d/e/1FAIpQLSc6I4DS7r3LOlocRxoyl3fqBvATW8CZR0cbW_JyaPM3gg5_mg/viewform?fbclid=IwAR2VVApE_qPSqVBAzdjB11m3cjCDEiSVaeLCL67wu0jZLTay8DsXsIHjvyU
「消費者對於家庭廢棄物循環經濟接受度之研究」問卷調查,https://docs.google.com/forms/d/e/1FAIpQLSciFgtxA4nwvpJjGghjmceaLxmK_ITJLAkNKg3eUybv6yOPrA/viewform
從眾效應問卷調查,https://docs.google.com/forms/d/e/1FAIpQLSePzAo_CFo9MpH1g4CWOL9Q6HSYnwCh0w22P8RnZMcchDEbNg/viewform
聯合品牌評估問卷,https://docs.google.com/forms/d/e/1FAIpQLSda4QPqwnsxo2DVZN3rxR-zgwvhjcuYxK_vwRXQtkCAA7cSkw/viewform